"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","NPL","Nepal","2011","2011",2322673,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","NPL","Nepal","2018","2018",1814355,"‡","UIS Estimation"
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","ALB","Albania","2011","2011",72533,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","ALB","Albania","2012","2012",63752,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","ALB","Albania","2018","2018",44114,"‡","UIS Estimation"
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","TON","Tonga","2011","2011",68,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","TON","Tonga","2018","2018",50,"‡","UIS Estimation"
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SRB","Serbia","2011","2011",8329,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SRB","Serbia","2016","2016",3039,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2010","2010",1659875,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2011","2011",2654893,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2012","2012",3215669,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2013","2013",6115976,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2014","2014",4205468,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2015","2015",5354977,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2016","2016",9599320,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2017","2017",10542973,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","USA","United States of America","2018","2018",9644974,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","MNG","Mongolia","2010","2010",48.41961,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","MNG","Mongolia","2018","2018",43.89006,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2010","2010",29.00909,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2011","2011",38.32939,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2012","2012",30.5949,"‡","UIS Estimation"
